id,name,code
cc50b66b-65a8-43dc-b051-a52a3a0a1522,South Cambridgeshire,E14000934
e57807e5-be2a-49dd-99f3-618cf8fe88fc,Mid Bedfordshire,E14000813
555f4b98-b381-4a77-bf75-508550002bb3,South Basildon and East Thurrock,E14000933
c3589ca4-5f68-418d-8cb7-f93faf315263,Meriden,E14000812
dd96a67f-9d7d-42eb-b4ec-0dec319aee8d,Somerton and Frome,E14000932
597cc2a5-6f43-485a-a0c8-ad6efd84c876,Meon Valley,E14000811
7bd19c33-5cac-4e80-a175-7b2efedb2741,Witney,E14001046
c0514ded-79f7-4dc1-a1b7-a18b07fb571d,South Holland and the Deepings,E14000939
a19d5133-5b98-4722-bdf9-79df3ccc0314,Mid Worcestershire,E14000818
5a918d83-37e5-4900-ac8a-3c4d15e69a79,South East Cornwall,E14000938
76f1bd9b-2044-4cc9-89f5-de29f95abd9f,Mid Sussex,E14000817
cc880322-24d8-48f3-8061-d9b30c6d04c5,South East Cambridgeshire,E14000937
1c386299-956c-4710-832c-2c00836cb65d,Mid Norfolk,E14000816
73f8f016-48ec-47ac-98ee-bc57bb452318,South Dorset,E14000936
382fe2bb-eb1e-4aba-9733-c599450beafe,Mid Dorset and North Poole,E14000815
6859206d-e7df-472f-8a6f-70c886db649f,Middlesbrough,E14000819
e0085514-b10a-4463-8690-779b04bae10c,Solihull,E14000931
ce24eb29-64c6-4652-bf6e-a4d351dec2d2,Mansfield,E14000810
eb5b121e-4077-42d3-839d-d060a332a66c,Slough,E14000930
1d114039-c4ca-4469-8e29-2a7a0b3775dd,Sherwood,E14000924
2b364e17-2c3a-4547-a71f-7f6e65bf561a,Maidenhead,E14000803
3656c211-e3ec-4b01-8ed5-552a136e6137,"Sheffield, Heeley",E14000923
fd87349d-5d08-4149-8aad-5c32f076b206,Macclesfield,E14000802
38ed5765-cf9d-4af2-bd4d-31cfe627dbab,"Sheffield, Hallam",E14000922
91c328a4-7664-4fa9-a226-2f7d942bdad6,Luton South,E14000801
85df18a0-886c-4816-b480-73b313288091,"Sheffield, Brightside and Hillsborough",E14000921
2623c8b5-dc4f-4441-b488-cedd518ea363,Luton North,E14000800
eb2df34b-12ea-42c1-870f-913f24079e33,East Renfrewshire,S14000021
6762f6d4-132e-4fe9-8554-7c8490e5b1d5,Skipton and Ripon,E14000928
26c916e2-e2a1-4034-af9d-54dacea495f3,Manchester Central,E14000807
1e1da0c0-6411-4035-8a5e-6b9401c02ad6,East Lothian,S14000020
e1feb0e7-ae5d-47db-972f-4b86d3c8ae7d,Sittingbourne and Sheppey,E14000927
4e83760c-f57b-4fe3-a942-c68bbd27d0c4,Maldon,E14000806
383a1e59-9fad-49aa-86f6-a88af7f858ab,Edinburgh North and Leith,S14000023
93cf456e-c3aa-42ae-adda-e1a69b93dc8d,Shrewsbury and Atcham,E14000926
6152a52f-b39f-44a3-a09a-208c4347483f,Makerfield,E14000805
0312038b-6737-4939-810f-0ed85bc30a16,Edinburgh East,S14000022
6fe3fea0-08cf-4763-80fd-0b93e4f07734,Shipley,E14000925
b91c8b60-ce72-4f23-a926-8377ac55a909,Maidstone and the Weald,E14000804
ffcaa151-21b3-416b-ac25-13c01aa3adbe,Edinburgh South West,S14000025
c2de1672-ddb3-4b1a-bad4-19e9e8797a5c,Edinburgh South,S14000024
392453a2-3431-40b2-ab63-aeb1f39280cf,Na H-Eileanan an Iar,S14000027
6ed2a83e-ec22-4971-a805-3ba1da8a9e47,"Manchester, Withington",E14000809
b0dd2e57-b027-4591-b9b5-1a7173340cc0,Edinburgh West,S14000026
0f0efcb9-457c-43e1-bbae-47b60bf2573d,Sleaford and North Hykeham,E14000929
da34f4d0-91be-4f7f-8d3e-b636e6760468,"Manchester, Gorton",E14000808
4284b2dd-9803-432f-9619-2443d82c3c8e,Glasgow Central,S14000029
3dbcd499-a08a-41bd-aaf4-98d4addcf41b,Falkirk,S14000028
1e9d14c6-43c0-4f26-b6fd-87a89ee98587,Sheffield South East,E14000920
7b6f92b9-66d4-457d-ad6c-75c187c056d7,Scarborough and Whitby,E14000913
15b8db0a-ac4f-44f5-af7e-399a77a04a66,Salisbury,E14000912
9dac2117-0627-49b4-964b-ae1c32c9f9ef,Salford and Eccles,E14000911
42b55ee2-a8dd-4e02-afc4-970e9041bacf,Saffron Walden,E14000910
519fa0ae-9509-41ab-a244-92e7cdcadad1,Central Ayrshire,S14000010
94fa6888-705c-4746-a643-fe1759f5d154,Selby and Ainsty,E14000917
1e458602-220d-4ee7-ac03-d812bcf181c3,Sefton Central,E14000916
eb38f9d1-0364-4164-bb31-8e8de539d7fa,"Cumbernauld, Kilsyth and Kirkintilloch East",S14000012
7bd12402-2326-44a2-ab56-bd8b10070dd5,Sedgefield,E14000915
882d6277-b2cc-4f20-8d71-63f880a749d5,"Coatbridge, Chryston and Bellshill",S14000011
9508bf5b-0fa9-48bd-9aca-8567617da6f6,Scunthorpe,E14000914
39825bc3-fa0b-4d9b-b44b-013b735f2584,"Dumfriesshire, Clydesdale and Tweeddale",S14000014
69a66ecc-b9b4-46b7-89f4-18fcd1b7f53a,Dumfries and Galloway,S14000013
0bdec259-4701-48c6-b48b-443734e78d5a,Dundee West,S14000016
ac30b3c1-4f5b-4c62-aaaa-05bab2e34c8a,Sheffield Central,E14000919
929949a0-a2cb-4639-b246-c225fb217cf6,Dundee East,S14000015
10145822-e092-4b2a-bf89-406db6cb08ce,Sevenoaks,E14000918
487efb93-115b-4b01-9df0-a1fed6fd5e82,East Dunbartonshire,S14000018
a8dd4dd3-edcd-4fed-9b18-d637f23973b3,Dunfermline and West Fife,S14000017
1b27cf72-5d16-460c-9f0a-33d786ce6ef9,"East Kilbride, Strathaven and Lesmahagow",S14000019
5284d368-f4db-4690-8a9f-fb35e33ab247,Rossendale and Darwen,E14000902
d109637b-51f0-43fa-bb77-147d0cf97940,Romsey and Southampton North,E14000901
28efb55c-f4ab-4dc1-9d86-0ac1b1567ba8,Romford,E14000900
38993769-6623-4f31-a43d-0acdaed344ff,"Ruislip, Northwood and Pinner",E14000906
9b08b7b5-f5fd-42c2-8165-f1b5417620ec,Rugby,E14000905
14d5ca50-76d7-4149-84b3-86fa95f48762,Rotherham,E14000904
675fba33-b62c-4e3e-a212-6d9b0acb5cc4,Rother Valley,E14000903
441a92e7-c37b-48bd-908f-d654cbbb4fe7,Rutland and Melton,E14000909
46b4d4de-f0da-47af-9c51-ce67ea824962,Rushcliffe,E14000908
5471289c-117e-44d4-8f19-9ecbaa1bb29d,Runnymede and Weybridge,E14000907
5117e5ed-a09c-4842-b3de-459cb28980e0,Belfast North,N06000002
d34a7ea2-cb81-4581-9949-6415fc6a0c3a,Belfast South,N06000003
369722b8-f660-44c9-9e6a-e06e7c65f787,Belfast East,N06000001
336beb4a-3a0e-4f7c-955f-a4b2f65c4abd,Foyle,N06000008
8e34f602-ce59-4a85-9354-1ee51d55ebf3,Lagan Valley,N06000009
b69f094d-1b62-47a2-a30a-d1fc305bdfa0,East Londonderry,N06000006
4f5965dd-a667-406c-a03a-48a898df7b5f,Fermanagh and South Tyrone,N06000007
009588cf-e4b3-4531-8525-84ea22a56e44,Belfast West,N06000004
f01812ec-a7d3-4250-b71f-5bd29231e432,East Antrim,N06000005
96397c30-d812-43b2-902e-4fa09fbea759,North Down,N06000013
74798a2a-7d95-4dce-894c-2d0365008066,York Outer,E14001062
29a0d8c2-c47d-43e4-848e-0d87f5900b66,South Antrim,N06000014
50325556-d499-4197-a323-03c57f2003a7,York Central,E14001061
ebb73c8a-d268-4ed4-aaa7-b94a05ab7662,Newry and Armagh,N06000011
48cc4da9-16ed-4801-ac76-d55570deef3b,Yeovil,E14001060
3d12c4ca-c07f-4f1a-bd63-f11959e8d56f,North Antrim,N06000012
fafb5b2e-0905-42a2-a342-1f2baa717c07,Mid Ulster,N06000010
6ee99fe5-b085-4319-91dc-8c11ba9773d4,Upper Bann,N06000017
5852b4e0-83fb-4158-bbd2-d2056d8d1eb7,West Tyrone,N06000018
d71d2387-c4b7-4f00-a248-c819797eda3b,South Down,N06000015
78287a72-f4e7-4df0-97bf-425243a37f54,Strangford,N06000016
7f0b04a3-eab5-4995-a524-7e133c91916f,Wolverhampton South West,E14001051
92429c09-7a4d-4288-b15c-abd4c2fdb83e,Wolverhampton South East,E14001050
a801465c-0894-4108-b818-98208ece0948,Worthing West,E14001055
c7078bb9-ab5c-4bf2-800d-b3d319a5d0ee,Worsley and Eccles South,E14001054
9ecd467c-c311-4006-87ed-73f5aeedfb5e,Workington,E14001053
b9a21f2f-1666-4b12-949c-c494fd5c9d6b,Wythenshawe and Sale East,E14001059
b61b108b-f8cc-47c1-a092-e959cfa06736,Wyre Forest,E14001058
229ad18a-24ee-48bb-9006-fd02da478ad6,Wyre and Preston North,E14001057
0341be43-2c57-495a-9317-0a5d21d1fe1e,Wycombe,E14001056
645d0668-37d8-41f8-9238-6aa6a3e8d24f,Wimbledon,E14001040
2d2145ae-0e53-4b4f-ab21-42fe3701b7ee,Wirral West,E14001044
df3727bf-5848-4220-bde8-11cacf850d43,Wirral South,E14001043
4a5c40a0-02cc-4cb5-9e7c-d5bb0a4bdc42,Windsor,E14001042
c46142d9-2f75-426d-8147-39f527b30e95,Winchester,E14001041
9f3ec5e1-16f5-4876-a8b7-ea6a58f589a7,Wokingham,E14001048
b300d36a-4c0d-4845-bd1b-4d53c8726e00,Woking,E14001047
74592522-1224-4ecb-a2c7-ec8003ce93cd,Witham,E14001045
82dd7a56-4c1b-457f-adb9-9a63ebc2c12f,Wolverhampton North East,E14001049
365b8f2e-8210-470c-a006-6df0114dd61d,West Lancashire,E14001033
11a0f0c5-3932-40db-bc64-671e0afd9484,West Ham,E14001032
ef2ee5ac-9550-46da-a432-ebba8b14adb2,West Dorset,E14001031
